id,entity string
315,concept:programminglanguage:project
316,concept:bank:westpac_new_zealand_limited
317,concept:sportsteam:texas_state_bobcats
318,concept:vegetable:rice
319,concept:researchproject:consulting_firm
320,concept:personasia:xie_fuzhan
321,concept:academicfield:services_benefits
322,concept:date:republic_last_year
323,concept:publication:bloomberg_television
324,concept:perceptionevent:membrane
325,concept:politicianus:john_bogle
326,concept:bodypart:lower_body
327,concept:terroristorganization:times
328,concept:stateorprovince:federation_of_bosnia_and_herzegovina
329,concept:beverage:collection
330,concept:aquarium:former_ussr
331,concept:island:steinhatchee
332,concept:sportsteam:sonoma_state_seawolves
333,concept:company:wviz_tv
334,concept:personus:jamestown
335,concept:politicsblog:detroit_news
336,concept:athlete:fred_smith
337,concept:radiostation:kcbd
338,concept:clothing:gray_suits
339,concept:bank:chronopay
340,concept:televisionstation:black_entertainment_television
341,concept:sportsteam:sacramento_monarchs
342,concept:automobilemaker:porsche
343,concept:visualartist:icon
344,concept:clothing:leather_trousers
345,concept:vertebrate:cavity_nesters
346,concept:geopoliticallocation:hobbs
347,concept:professionalorganization:episcopal_aids_coalition
348,concept:crustacean:topic
349,concept:professionalorganization:consumer_electronics_association
350,concept:visualizablescene:creola
351,concept:city:mullica_hill
352,concept:company:globespan
353,concept:company:kues
354,concept:academicfield:mission
355,concept:professionalorganization:public_works_association
356,concept:geopoliticallocation:veradale
357,concept:person:dennis
358,concept:landscapefeatures:coastline
359,concept:personus:takashi_saito
360,concept:visualartmovement:n25_years
361,concept:geopoliticallocation:place
362,concept:buildingmaterial:drainage
363,concept:geopoliticallocation:menongue
364,concept:actor:pdf
365,concept:clothing:blue_shirts
366,concept:governmentorganization:justice_department
367,concept:clothing:red_bow_tie
368,concept:clothing:white_mask
369,concept:company:reuters_apple
370,concept:company:new_york_lawyer
371,concept:musicartist:hotwire
372,concept:currency:lats
373,concept:hotel:estrel_hotel
374,concept:hotel:holiday_inn_express_downtown
375,concept:bedroomitem:money
376,concept:location:sugar_land
377,concept:weapon:replica
378,concept:weatherphenomenon:midnight
379,concept:company:asiana_airlines
380,concept:county:crestline
381,concept:hallwayitem:contractor
382,concept:journalist:laura_vecsey
383,concept:dateliteral:n1953
384,concept:televisionstation:wtvy
385,concept:visualizablescene:london_gatwick
386,concept:physicsterm:gravity
387,concept:building:south
388,concept:mammal:chimps
389,concept:island:scott
390,concept:jobposition:state_minister
391,concept:lake:lake_butler
392,concept:clothing:orange_jumpsuit
393,concept:ceo:hiroshi_okuda
394,concept:hotel:hotel_le_germain
395,concept:personus:joey_devine
396,concept:clothing:corduroy_slacks
397,concept:city:spring
398,concept:date:n1986
399,concept:sportsleague:nfl
400,concept:musicartist:former_pearl_jam
401,concept:sportsteam:nebraska_omaha_mavericks
402,concept:sportsteam:cleveland_browns
403,concept:geopoliticallocation:northeastern
404,concept:city:secret
405,concept:company:swiss_re
406,concept:sportsteam:long_island_blackbirds
407,concept:sportsteam:philadelphia_76ers
408,concept:actor:blur
409,concept:hotel:buena_vista_suites
410,concept:mldataset:ee
411,concept:clothing:purple_sweater
412,concept:chemical:warm_water
413,concept:person:miramax
414,concept:biotechcompany:diamond_foods
415,concept:person:phone
416,concept:stadiumoreventvenue:blossom_music_center
417,concept:city:walvis_bay
418,concept:clothing:scrubs
419,concept:personeurope:n2_6
420,concept:person:jack_ma_yun
421,concept:reptile:cat
422,concept:clothing:elastic_waist
423,concept:geometricshape:mode
424,concept:personus:fema
425,concept:coach:kentucky
426,concept:coach:peter_lee
427,concept:county:white_meadow_lake
428,concept:consumerelectronicitem:material
429,concept:retailstore:settings
430,concept:clothing:mens_t_shirts
431,concept:comedian:oklahoma
432,concept:county:snowflake
433,concept:sociopolitical:necessity
434,concept:musicartist:razorlight
435,concept:bank:wire_transfer
436,concept:publication:new_york_times_newspapers
437,concept:city:culpeper
438,concept:ceo:richard_m__daley
439,concept:governmentorganization:west_virginia_department
440,concept:politicianus:mike_gravel
441,concept:city:hot_springs
442,concept:personnorthamerica:james_murdoch
443,concept:vegetable:parsley
444,concept:buildingfeature:products
445,concept:product:minute_maid
446,concept:sportsteam:alabama_state_hornets
447,concept:athlete:mac
448,concept:televisionstation:kota
449,concept:winery:time_search
450,concept:stateorprovince:colorado
451,concept:journalist:jim_souhan
452,concept:geopoliticalorganization:baden_w_rttemberg
453,concept:televisionshow:variety
454,concept:newspaper:bbc_radio
455,concept:mldataset:rachel
456,concept:researchproject:fort_worth
457,concept:athlete:john_mccain
458,concept:newspaper:gazette_times
459,concept:personnorthamerica:condi_rice
460,concept:hotel:site
461,concept:criminal:peter_moore
462,concept:criminal:directory_sites
463,concept:university:oberlin
464,concept:arthropod:decapods
465,concept:stadiumoreventvenue:times_union_perf__arts_moran
466,concept:city:ypsilanti
467,concept:chef:anaheim_ducks
468,concept:sportsteam:murray_state
469,concept:buildingfeature:paypal
470,concept:biotechcompany:informatica_corporation
471,concept:charactertrait:style
472,concept:animal:b_c__lions
473,concept:city:louisiana
474,concept:bodypart:digestive_tract
475,concept:university:georgia_state
476,concept:householditem:cultural_melting_pot
477,concept:geopoliticallocation:storrs
478,concept:clothing:cardigan_sweater
479,concept:insect:small_mammals
480,concept:geopoliticallocation:guernsey
481,concept:geopoliticallocation:princeville
482,concept:city:mauldin
483,concept:company:week_tv
484,concept:journalist:george_f__will
485,concept:scientist:andres_oppenheimer
486,concept:geopoliticalorganization:middelburg
487,concept:terroristorganization:mahmoud_abbas
488,concept:book:garden_state
489,concept:country:poland
490,concept:televisionstation:ktrk
491,concept:vegetable:spinach
492,concept:bird:profile
493,concept:athlete:new_york_yankees_sp_kevin_brown
494,concept:stateorprovince:sarawak
495,concept:company:tomtom
496,concept:sportsteam:south_dakota_coyotes
497,concept:city:ojai
498,concept:county:ny_city
499,concept:profession:academies
500,concept:company:press
501,concept:stateorprovince:shots
502,concept:city:bowie
503,concept:clothing:black_tuxedo
504,concept:stateorprovince:playing
505,concept:airport:suffolk_county
506,concept:clothing:light_blue_shirt
507,concept:island:bosnia___herzegovina
508,concept:academicfield:infrastructure_planning
509,concept:personus:george_clooney
510,concept:weatherphenomenon:next_year
511,concept:personmexico:brian_steinmeyer
512,concept:city:manzanillo
513,concept:company:kbcb
514,concept:clothing:dark_t_shirt
515,concept:sportsteam:mid_tenn_st_blue_raiders
516,concept:museum:requirements
517,concept:country:rwanda
518,concept:stadiumoreventvenue:daneeka
519,concept:politician:gov__sarah_palin
520,concept:company:kbci_tv
521,concept:city:saugatuck
522,concept:company:jersey_shore_star
523,concept:politicianus:steve_miller
524,concept:website:atlanta_journal_constitution
525,concept:personus:coco_crisp
526,concept:company:kten_tv
527,concept:conference:exception
528,concept:male:alex_gaskarth
529,concept:automobilemodel:carnival
530,concept:professionalorganization:adobe_systems_incorporated
531,concept:city:van_buren
532,concept:televisionstation:wtvt
533,concept:politicianus:john_f__kennedy
534,concept:athlete:charlie_frye
535,concept:personus:cesar_izturis
536,concept:hallwayitem:stream
537,concept:stadiumoreventvenue:fox_cities_performing_arts_center
538,concept:personus:gerald_laird
539,concept:visualartist:un
540,concept:politicalparty:green_party
541,concept:bank:hibernia
542,concept:website:site_terms
543,concept:city:harvey
544,concept:beach:royal_palm_beach
545,concept:landscapefeatures:adirondacks
546,concept:clothing:black_leather_shoes
547,concept:university:ohio
548,concept:politicianus:john_gibson
549,concept:beverage:shipping
550,concept:city:external_links
551,concept:profession:services
552,concept:bathroomitem:taps
553,concept:sportsteam:bemidji_state_beavers
554,concept:clothing:sale
555,concept:company:kmne_tv
556,concept:sportsgame:eastern_conference
557,concept:biotechcompany:hollinger_international
558,concept:politicianus:scott_tipton
559,concept:stadiumoreventvenue:dolphin_stadium
560,concept:stadiumoreventvenue:treasure_island_hotel
561,concept:mammal:stag
562,concept:monument:york_area
563,concept:hallwayitem:subject
564,concept:newspaper:friday_times
565,concept:agriculturalproduct:mushroom
566,concept:company:electronics
567,concept:city:hefei
568,concept:stateorprovince:greenwich
569,concept:biotechcompany:constellation_energy_group
570,concept:company:wdtv
571,concept:musicinstrument:bistro
572,concept:jobposition:document_retention_the_vice
573,concept:bedroomitem:tivo
574,concept:island:ponce_inlet
575,concept:musicalbum:beggars
576,concept:movie:six_weeks
577,concept:stateorprovince:alpes_maritimes
578,concept:musicalbum:vessels
579,concept:nondiseasecondition:nursing
580,concept:criminal:articles_the_3
581,concept:hotel:the_fairmont_royal_york
582,concept:city:raleigh_durham
583,concept:website:google__tm_
584,concept:criminal:_go_
585,concept:automobilemaker:amateur
586,concept:coach:pete_carroll
587,concept:televisionstation:woub_tv
588,concept:visualizablescene:clarksboro
589,concept:person:hiroki_kuroda
590,concept:stateorprovince:man
591,concept:biotechcompany:mckesson
592,concept:company:knva
593,concept:clothing:white_tee_shirt
594,concept:city:portal
595,concept:mountain:kilauea
596,concept:sportsteam:habs
597,concept:person:center
598,concept:radiostation:wlio
599,concept:person:kelly
600,concept:geopoliticalorganization:ile_de_france
601,concept:televisionstation:kelo_tv
602,concept:programminglanguage:application
603,concept:hotel:dylan
604,concept:professionalorganization:marketing_board
605,concept:coach:indiana_pacers
606,concept:book:awesome
607,concept:geopoliticallocation:san_marino
608,concept:transportation:central_air
609,concept:geopoliticallocation:chester
610,concept:company:czech_airlines
611,concept:person:zoran_djindjic
612,concept:physicalaction:defense
613,concept:buildingfeature:piping
614,concept:personnorthamerica:stephen_a__schwarzman
615,concept:city:gibbsboro
616,concept:city:breda
617,concept:clothing:blue_suit
618,concept:visualizablescene:santa_ynez
619,concept:city:mentor
620,concept:protein:ecm
621,concept:city:surfside
622,concept:governmentorganization:louisiana_department
623,concept:geopoliticallocation:sarajevo
624,concept:televisionstation:kljb_tv
625,concept:buildingfeature:conservatory
626,concept:county:flagtown
627,concept:country:dominica
628,concept:reptile:rattlesnakes
629,concept:clothing:cummerbund
630,concept:city:mccloud
631,concept:personaustralia:lauren_glassberg
632,concept:politicsblog:new_zealand_herald
633,concept:personeurope:paul_buchanan
634,concept:person:tom_lasorda001
635,concept:city:cape_girardeau
636,concept:comedian:thursday_night
637,concept:event:consecutive_years
638,concept:city:chisinau
639,concept:academicfield:film
640,concept:company:google_keywords
641,concept:personus:jon_cohen
642,concept:musician:bill_monroe
643,concept:programminglanguage:end
644,concept:personmexico:usa_basketball
645,concept:coach:chuck_pagano
646,concept:geopoliticallocation:stanhope
647,concept:fish:spearfish
648,concept:governmentorganization:services_state_agency
649,concept:personcanada:gibby_haynes
650,concept:product:samsung_electronics_co__ltd_
651,concept:person:al_lavan
652,concept:crimeorcharge:senior
653,concept:company:new_ku
654,concept:language:bahasa_malaysia
655,concept:sportsteam:faulkner_state_sun_chiefs
656,concept:person:harry_potter
657,concept:sportsteam:uab_blazers
658,concept:city:ipil
659,concept:clothing:denim_trousers
660,concept:writer:jeffrey_steingarten
661,concept:magazine:prevention
662,concept:bird:wild_turkeys
663,concept:politicianus:bob
664,concept:city:high_point
665,concept:crustacean:lvmh
666,concept:clothing:black_shoes
667,concept:musicsong:boy
668,concept:blog:lou_reed
669,concept:city:ia
670,concept:televisionstation:kare
671,concept:coach:darren_rizzi
672,concept:company:american_eagle_outfitters
673,concept:landscapefeatures:streams
674,concept:person:alejandro_de_aza
675,concept:mammal:warm_blooded_animals
676,concept:politicaloffice:accident_lawyer
677,concept:monument:close
678,concept:clothing:wind_pants
679,concept:geometricshape:rays
680,concept:governmentorganization:measure
681,concept:county:roger
682,concept:biotechcompany:longport
683,concept:stateorprovince:fujian
684,concept:city:kinsale
685,concept:company:index_things
686,concept:athlete:steve_dunn
687,concept:personus:garret_anderson
688,concept:street:gay_street
689,concept:sportsteam:millikin_big_blue
690,concept:musicartist:stray_cats
691,concept:website:management_web_site
692,concept:musician:randy_blythe
693,concept:company:cox
694,concept:city:gap
695,concept:buildingfeature:points
696,concept:musicalbum:more_years
697,concept:automobilemaker:think
698,concept:weatherphenomenon:breezy_point
699,concept:stateorprovince:large_state
700,concept:retailstore:dell_inc
701,concept:personus:jean_christophe_babin
702,concept:website:variety
703,concept:organization:cpa_societies
704,concept:university:admissions
705,concept:university:feedburner
706,concept:musician:dan
707,concept:biotechcompany:bache_halsey_stuart_shields
708,concept:city:richwood
709,concept:athlete:ryan_kalish
710,concept:university:iowa_state
711,concept:female:headline
712,concept:bank:allianz
713,concept:city:mendoza
714,concept:river:theme
715,concept:city:powell
716,concept:radiostation:kswb
717,concept:lake:ash_lake
718,concept:journalist:peter_kerasotis
719,concept:personus:shannon_stewart
720,concept:personus:shin_soo_choo
721,concept:attraction:carteret
722,concept:ceo:louis_c__camilleri
723,concept:writer:simon_r__green
724,concept:stadiumoreventvenue:boardwalk_hall
725,concept:company:costco_wholesale
726,concept:televisionstation:wvii
727,concept:ceo:ken_chenault
728,concept:politicsblog:daily_record
729,concept:reptile:winter_wren
730,concept:stateorprovince:replacement
731,concept:geopoliticallocation:americas
732,concept:clothing:products
733,concept:profession:hours
734,concept:emotion:ideas
735,concept:vegetable:risotto
736,concept:language:haitian_creole
737,concept:journalist:terry_moran
738,concept:country:the_netherlands
739,concept:room:drive
740,concept:kitchenitem:shortage
741,concept:company:walmart
742,concept:city:ambassador
743,concept:newspaper:advocate
744,concept:publication:journal_online
745,concept:geopoliticallocation:lower_manhattan
746,concept:clothing:bowtie
747,concept:county:fox
748,concept:city:benton
749,concept:tradeunion:legend
750,concept:landscapefeatures:parks
751,concept:room:executive
752,concept:personus:clay_buchholz
753,concept:university:virginia_union
754,concept:politician:governor_romney
755,concept:visualizablescene:yankton
756,concept:braintissue:project
757,concept:attraction:palace
758,concept:publication:post
759,concept:radiostation:fidelity
760,concept:island:ship_bottom
761,concept:website:nbc_news
762,concept:physicalaction:uses
763,concept:academicfield:adjunct_faculty
764,concept:university:accredited
765,concept:eventoutcome:state
766,concept:televisionstation:kiro_tv
767,concept:biotechcompany:xcel_energy
768,concept:nongovorganization:ethics
769,concept:city:coloma
770,concept:company:revolution_health
771,concept:programminglanguage:collection
772,concept:recordlabel:size
773,concept:hotel:heritage
774,concept:clothing:pullover_shirt
775,concept:city:pottsville
776,concept:company:aapl
777,concept:animal:federal_government
778,concept:virus:safe_drinking_water
779,concept:clothing:simple_jeans
780,concept:politician:ashley_swearengin
781,concept:company:yahoo_s
782,concept:city:ponta_delgada
783,concept:emotion:rule
784,concept:radiostation:kuno
785,concept:buildingfeature:venetian
786,concept:visualizablething:alief
787,concept:vehicle:units
788,concept:televisionstation:ghent
789,concept:politicianus:ellison
790,concept:automobilemaker:nissan_motor_co
791,concept:sportsteamposition:team_s
792,concept:county:ocala
793,concept:book:hiroshima
794,concept:sportsteam:la_clippers
795,concept:musicalbum:fight
796,concept:lake:newman_lake
797,concept:skiarea:broad_run
798,concept:coach:louisville
799,concept:person:jeffrey_katzenberg
800,concept:buildingfeature:system_pipes
801,concept:company:iberia_airlines
802,concept:stadiumoreventvenue:agganis_arena
803,concept:company:the_national
804,concept:celebrity:mark_seymour
805,concept:musician:the_band
806,concept:country:kazakhstan
807,concept:city:citrus_heights
808,concept:clothing:costume
809,concept:politicianus:will_wynn
810,concept:city:crestview
811,concept:radiostation:kbvu
812,concept:city:missouri_city
813,concept:politicsblog:the_toronto_star
814,concept:personus:kirby_puckett
815,concept:stadiumoreventvenue:verizon_center
816,concept:automobilemaker:merc
817,concept:televisionstation:wpsg
818,concept:university:ohio_state
819,concept:attraction:mouth
820,concept:website:byline
821,concept:geopoliticallocation:ancona
822,concept:terroristorganization:command
823,concept:person:carter
824,concept:clothing:glasses
825,concept:ceo:vijay_k__thadani
826,concept:coach:w
827,concept:personus:bobby_abreu
828,concept:musicartist:entertainment
829,concept:televisionstation:local_cbs
830,concept:coach:greg_schiano
831,concept:clothing:folksy_dresses
832,concept:musician:anthony_kiedis
833,concept:company:yemen
834,concept:geopoliticalorganization:northern
835,concept:tableitem:collection
836,concept:company:cnooc_ltd_
837,concept:software:n48_hours
838,concept:company:troy
839,concept:terroristorganization:breeding_ground
840,concept:politicsblog:city_pages
841,concept:male:dream
842,concept:journalist:monte_poole
843,concept:arthropod:cricket
844,concept:clothing:summer_tank_top
845,concept:politicsblog:portland
846,concept:country:south_west
847,concept:musician:dimebag_darrell
848,concept:blog:sunday_express
849,concept:female:tlc
850,concept:clothing:gauntlets
851,concept:clothing:white_jackets
852,concept:geopoliticallocation:singles
853,concept:person:hanna_gronkiewicz_waltz
854,concept:city:plymouth
855,concept:school:shichahai_school
856,concept:city:simon
857,concept:visualizableobject:shirt
858,concept:weapon:theatre
859,concept:ceo:abigail_johnson
860,concept:emotion:part
861,concept:actor:van_andel_arena
862,concept:company:toyota_motor
863,concept:stadiumoreventvenue:rialto_square_theatre
864,concept:museum:hp
865,concept:city:moultrie
866,concept:cave:he_s
867,concept:mammal:monkeys
868,concept:building:york_neighborhoods
869,concept:mountain:mountain_rest
870,concept:geopoliticalorganization:sea_girt
871,concept:agent:start
872,concept:academicfield:optimization
873,concept:geopoliticallocation:workers
874,concept:musicgenre:punk
875,concept:insect:grasshoppers
876,concept:ceo:mel_karmazin
877,concept:journalist:southern_asia
878,concept:geometricshape:english_dictionary
879,concept:ceo:louis_gallois
880,concept:musician:dr__dre
881,concept:musicartist:blood
882,concept:geopoliticalorganization:clewiston
883,concept:city:ferndale
884,concept:writer:beagle
885,concept:organization:lawmakers
886,concept:politicianus:rev__jesse_jackson
887,concept:weatherphenomenon:thing
888,concept:biotechcompany:winzip_international_llc__
889,concept:country:bahamas
890,concept:company:microsoft_dynamics
891,concept:city:volgodonsk
892,concept:city:west_bend
893,concept:company:kcfw_tv
894,concept:company:medical
895,concept:animal:non_native_species
896,concept:planet:friends
897,concept:building:international_airports
898,concept:clothing:wedding
899,concept:personafrica:jason_stollsteimer
900,concept:county:athens
901,concept:hotel:hotel_sax
902,concept:ceo:david_o_reilly
903,concept:journalist:david_teel
904,concept:sportsteam:morehouse_maroon_tigers
905,concept:company:adb
906,concept:person:slobodan_milosevic
907,concept:politician:walsh
908,concept:city:circle
909,concept:stateorprovince:eure_et_loir
910,concept:journalist:ann_killion
911,concept:musicartist:gene
912,concept:person:yang
913,concept:musicartist:sonny_rollins
914,concept:geopoliticallocation:cockeysville
915,concept:city:cupertino
916,concept:hotel:comfort_inn
917,concept:city:coastal_city
918,concept:website:msn_messenger
919,concept:island:orange_city
920,concept:clothing:columbia
921,concept:university:ibm
